,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,MISC,,,fr,215
Premier ministre,Premier ministre,MISC,,,fr,120
lAssemblée,lAssemblée,MISC,1.7367009680134682,3.757525613275613,fr,88
Trump,Trump,MISC,,,fr,51
États-Unis,États-Unis,MISC,1.2149682539682538,9.32926053113553,fr,40
Le Premier ministre,Le Premier ministre,MISC,,,fr,38
Pierre,Pierre,MISC,,,fr,35
prix Nobel de physique,prix Nobel de physique,MISC,,,fr,33
Etats-Unis,Etats-Unis,MISC,0.7342534391534392,0.9252314814814815,fr,23
Renaissance,Renaissance,MISC,0.16510317460317459,1.2143882275132274,fr,23
prix Nobel de la paix,prix Nobel de la paix,MISC,,,fr,21
Premier,Premier,MISC,,,fr,19
Elon Musk,Elon Musk,MISC,,,fr,17
OpenAI,OpenAI,MISC,,,fr,16
Noël,Noël,MISC,,,fr,14
prix Nobel de médecine,prix Nobel de médecine,MISC,,,fr,14
X,X,MISC,,,fr,14
LFI,LFI,MISC,,,fr,13
"REUTERS
","REUTERS
",MISC,,,fr,12
Bad Bunny,Bad Bunny,MISC,,,fr,12
Maison-Blanche,Maison-Blanche,MISC,,,fr,11
ChatGPT,ChatGPT,MISC,,,fr,11
Ça,Ça,MISC,,,fr,10
prix Nobel,prix Nobel,MISC,,,fr,10
Zucman,Zucman,MISC,0.6876388888888889,1.6503167388167386,fr,10
Première ministre,Première ministre,MISC,,,fr,10
Horizons,Horizons,MISC,0.13657738095238095,0.2819973544973545,fr,10
The Smashing Machine,The Smashing Machine,MISC,,,fr,10
LR,LR,MISC,0.07248333333333333,0.14716666666666667,fr,9
Netflix,Netflix,MISC,,,fr,9
YouTube,YouTube,MISC,,,fr,8
Première ministre du Japon,Première ministre du Japon,MISC,,,fr,8
Constitution,Constitution,MISC,,,fr,8
lIntérieur,lIntérieur,MISC,,,fr,8
Super Bowl,Super Bowl,MISC,,,fr,8
Siri,Siri,MISC,0.8295714285714287,0.645,fr,8
La Tribune Dimanche,La Tribune Dimanche,MISC,,,fr,7
"Google Actualités
Partager
 Sabonner 
","Google Actualités
Partager
 Sabonner 
",MISC,,,fr,7
Lecornu 2,Lecornu 2,MISC,1.1282142857142858,1.0392857142857144,fr,7
lEtat,lEtat,MISC,0.13046825396825396,0.27933862433862433,fr,7
Retraites ,Retraites ,MISC,0.3184814814814815,0.30518518518518517,fr,7
prix Nobel de physique 2025,prix Nobel de physique 2025,MISC,,,fr,7
The Rock,The Rock,MISC,,,fr,7
lUkraine,lUkraine,MISC,,,fr,6
Starship,Starship,MISC,,,fr,6
Prix Nobel de la paix ,Prix Nobel de la paix ,MISC,,,fr,6
prix Nobel déconomie,prix Nobel déconomie,MISC,,,fr,6
Avengers: Doomsday,Avengers: Doomsday,MISC,,,fr,6
C,C,MISC,,,fr,6
Le Diable s’habille,Le Diable s’habille,MISC,,,fr,6
Grokipedia,Grokipedia,MISC,1.2874999999999999,0.7749999999999999,fr,6
lÉlysée,lÉlysée,MISC,,,fr,6
iPhone,iPhone,MISC,,,fr,6
Ballon d'or,Ballon d'or,MISC,,,fr,6
Le Nobel de chimie,Le Nobel de chimie,MISC,,,fr,6
prix Nobel de chimie,prix Nobel de chimie,MISC,,,fr,6
prix Nobel de littérature,prix Nobel de littérature,MISC,,,fr,6
Antéchrist,Antéchrist,MISC,,,fr,6
DIVERGENCE,DIVERGENCE,MISC,,,fr,5
LUDOVIC MARIN,LUDOVIC MARIN,MISC,,,fr,5
Premier ministre israélien,Premier ministre israélien,MISC,,,fr,5
"DIRECT, guerre en Ukraine ","DIRECT, guerre en Ukraine ",MISC,,,fr,5
Le Nobel de médecine,Le Nobel de médecine,MISC,,,fr,5
"Google Actualités
Partager
 Sabonner","Google Actualités
Partager
 Sabonner",MISC,,,fr,5
CNews,CNews,MISC,,,fr,5
Only Murders in the Building,Only Murders in the Building,MISC,,,fr,5
prix Nobel d’économie,prix Nobel d’économie,MISC,,,fr,5
»,»,MISC,0.09391666666666669,0.4759166666666667,fr,5
Prix Nobel de la paix,Prix Nobel de la paix,MISC,,,fr,5
Mobstars Stories,Mobstars Stories,MISC,,,fr,5
Wikipédia,Wikipédia,MISC,,,fr,5
Star Wars,Star Wars,MISC,,,fr,5
ABC,ABC,MISC,,,fr,5
Prix Nobel ,Prix Nobel ,MISC,,,fr,4
iPhone 17,iPhone 17,MISC,,,fr,4
prix Nobel d'économie,prix Nobel d'économie,MISC,,,fr,4
Grammy Awards,Grammy Awards,MISC,,,fr,4
coup d'État,coup d'État,MISC,,,fr,4
ouragan Melissa,ouragan Melissa,MISC,,,fr,4
Meta,Meta,MISC,,,fr,4
Premier ministre français,Premier ministre français,MISC,,,fr,4
LAssemblée,LAssemblée,MISC,,,fr,4
Facebook,Facebook,MISC,,,fr,4
New-Yorkais,New-Yorkais,MISC,,,fr,4
Donald Trump ,Donald Trump ,MISC,,,fr,4
xAI,xAI,MISC,,,fr,4
administration Trump,administration Trump,MISC,,,fr,4
prix Lumière 2025,prix Lumière 2025,MISC,,,fr,4
REUTERS,REUTERS,MISC,,,fr,4
Justice,Justice,MISC,,,fr,4
